serial_no,reviewer_name,room_type,period_of_stay,traveler_type,review_score_numerator,review_score_denominator,review_score_description,review_date,review_text,extraction_timestamp,review_detected_lang,review_translated
938,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in March 2024,Family,10.0,/10,Outstanding,"Posted March 9, 2024",景色好，服務周到。,2025-09-08 22:58:08,zh-TW,Nice view and attentive service.
939,z‍w‍6‍0‍0‍0‍1‍6,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 9, 2024",房間很大，環境優美，視野開闊。泳池很豪華。,2025-09-08 22:58:10,zh-TW,"The room is large, the environment is beautiful, the view is wide, and the swimming pool is luxurious."
940,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in March 2025,Family,10.0,/10,Outstanding,"Posted March 20, 2025",周邊環境超好，交通方便。辦理預入住可去觀景台和泳池。,2025-09-08 22:58:11,zh-TW,The surrounding environment is super good and the transportation is convenient. You can go to the observation deck and swimming pool after checking in.
941,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,,Stayed in March 2024,Family,6.5,/10,,"Posted March 25, 2024",付費升級了房間，提前入住發現衞生間垃圾筒滿的未收拾，燒水壺倒不出水，用棉簽捅了一下才發現是壺嘴裏堵着一團不知何物很噁心的東西，反映給客房，來了打掃了説反映給上級，後面倒是來了一個人看了一下就走了，然後就沒有然後了，出現這種低級問題與酒店定位嚴重不符。住四十多層也挺潮濕，也就是到此一遊吧，不會推薦給其他人,2025-09-08 22:58:17,zh-TW,"I paid for an upgraded room, checked in early, and discovered the bathroom trash can was full and untied. The kettle wouldn&#39;t pour water. I poked it with a cotton swab and found a disgusting mass of something stuck in the spout. I reported it to housekeeping, who came and cleaned it, and said they&#39;d report it to a supervisor. Someone did come and take a look, then left, and nothing more happened. This kind of low-level problem is seriously inconsistent with the hotel&#39;s positioning. It was quite humid even on the 40th floor. It was just a visit, and I wouldn&#39;t recommend it to anyone else."
942,P‍e‍n‍n‍y‍-‍D‍a‍i,,Stayed in February 2024,Family,8.0,/10,Very Good,"Posted February 10, 2024",景觀非常好，但是內部設施很一般。,2025-09-08 22:58:19,zh-TW,"The view is very good, but the interior facilities are very average."
943,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in February 2024,Solo traveller,10.0,/10,Outstanding,"Posted February 17, 2024",除了價格高點些，其它還接受,2025-09-08 22:58:20,zh-TW,"Except the price is a bit higher, the others are acceptable"
944,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted April 26, 2024",空中泳池🏊孩子們的最愛😍,2025-09-08 22:58:21,zh-TW,Sky pool 🏊Kids&#39; favorite 😍
945,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 16, 2024",酒店服務很好，還有吸煙房,2025-09-08 22:58:23,zh-TW,The hotel service is very good and there are smoking rooms
946,g‍y‍1‍9‍8‍3,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted April 2, 2024",房間不是很大，樓頂無邊泳池很美，我女兒生日還送了蛋糕,2025-09-08 22:58:24,zh-TW,"The room is not very big, but the rooftop infinity pool is beautiful. My daughter even got a cake for her birthday."
947,J‍i‍a‍r‍e‍n‍g‍o‍n‍g‍y‍i,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 19, 2024",房間乾淨整潔美觀,2025-09-08 22:58:25,zh-TW,"The room is clean, tidy and beautiful"
948,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted January 31, 2024",非常滿意，設施服務都很完美！,2025-09-08 22:58:26,zh-TW,"Very satisfied, the facilities and services are perfect!"
949,y‍o‍s‍u‍h‍u‍a,,Stayed in January 2024,Family,9.5,/10,Amazing,"Posted January 29, 2024",頂樓的泳池夜景不錯，值得一遊,2025-09-08 22:58:28,zh-TW,The rooftop swimming pool has a nice night view and is worth a visit
950,Y‍u‍e‍s‍h‍i,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted January 30, 2024",房間乾淨，景觀很美，服務很好,2025-09-08 22:58:29,zh-TW,"Clean room, beautiful view, good service"
951,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in January 2024,Solo traveller,10.0,/10,Outstanding,"Posted February 14, 2024",不到無邊際泳池不算到新加坡,2025-09-08 22:58:37,zh-TW,No visit to Singapore is complete without a visit to the infinity pool
952,j‍a‍c‍k‍y,,Stayed in January 2024,Business traveller,10.0,/10,Outstanding,"Posted February 1, 2024",服務很好、游泳池很漂亮、值得推薦,2025-09-08 22:58:38,zh-TW,"Great service, beautiful swimming pool, highly recommended"
953,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 4, 2024",中文溝通沒壓力，很不錯,2025-09-08 22:58:39,zh-TW,"Chinese communication is stress-free, very good"
954,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in November 2023,Solo traveller,10.0,/10,Outstanding,"Posted November 24, 2023",很棒的房間，很好的服務，很好的娛樂，很好的體驗，很滿意的旅程，很難忘的經歷，很值得推薦，大家都去啊！,2025-09-08 22:58:41,zh-TW,"Great room, great service, great entertainment, great experience, very satisfying journey, very unforgettable experience, highly recommended, everyone should go!"
955,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted January 17, 2024",服務體驗和房間景觀對得起這個價位了,2025-09-08 22:58:42,zh-TW,The service experience and room view are worth the price.
956,X‍i‍s‍h‍a‍n‍l‍a‍n‍g‍x‍s‍l,,Stayed in January 2024,Solo traveller,10.0,/10,Outstanding,"Posted January 24, 2024",服務員很熱情，樓頂拍照很好看,2025-09-08 22:58:43,zh-TW,The waiters are very enthusiastic and the rooftop photos are great.
957,W‍e‍n‍s‍h‍u‍n‍d‍e‍y‍a‍n‍g,,Stayed in February 2024,Family,8.5,/10,Very Good,"Posted February 29, 2024",七年前來過，現在價格飛漲，但漲了服務沒跟上啊，對國人比較傲慢，前台聲稱6000多的房型均在未裝修樓棟中，並有噪音，並詢問我是否付費升級，同時表示升級後樓層低或者沒有陽台，看基本把歐美及日韓遊客均安排在新裝修樓棟，是否國人預訂的均在未裝修樓棟？也並未事先告知，有歧視嫌疑，後在攜程協調下升級更換，感受頗差。自助餐廳部分服務員在明知是🇨🇳人前提下依然假裝聽不懂用英語，總之金沙感覺不咋地，性價比最低，希望大家避雷,2025-09-08 22:58:44,zh-TW,"I came here seven years ago, and prices have skyrocketed, but the service hasn&#39;t kept up. They&#39;re quite rude to Chinese people. The front desk claimed that rooms priced over 6,000 were all in unrenovated buildings and were noisy. They asked if I wanted to pay for an upgrade, but also said that the upgraded floor would be lower or without a balcony. It seems that European, American, Japanese, and Korean tourists are basically placed in the newly renovated buildings. Are Chinese people booking in unrenovated buildings? They didn&#39;t inform me in advance, which seemed discriminatory. Later, with the coordination of Ctrip, I upgraded and changed, but the experience was quite poor. Some waiters in the buffet restaurant pretended not to understand English even though they knew I was a 🇨🇳 person. Overall, Sands is not very good, and the value for money is the lowest. I hope everyone will avoid it."
958,B‍u‍b‍a‍t‍i‍a‍n,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 8, 2024",非常非常滿意,2025-09-08 22:58:46,zh-TW,Very very satisfied
959,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in July 2024,Family,9.0,/10,Great,"Posted September 18, 2024",房間不錯，位置好，剛到的時候被奢華的裝修、硬件吸引，後來被服務吸引，房間陽台看出去的景觀、頂樓的泳池都是獨一無二的存在。,2025-09-08 22:58:47,zh-TW,"The room is nice and the location is good. When I first arrived, I was attracted by the luxurious decoration and hardware, and later I was attracted by the service. The view from the balcony of the room and the swimming pool on the rooftop are unique."
960,S‍i‍t‍a‍n‍n‍i‍s‍i‍l‍a‍o‍s‍i‍w‍a‍n‍g‍z‍h‍e‍n,,Stayed in February 2024,Family,10.0,/10,Outstanding,"Posted February 21, 2024","辦理入住時候客服將我安排在3號樓並且告訴我們該棟樓在裝修，會有一點點吵。
入住後才知道是地震般的震動並不是一點點吵。完全有理由猜測在安排樓棟的時候是有被欺騙的成分。
後來和客服投訴幫我們換到了1號樓。雖然樓層低了，但沒有了喧鬧。而且是全新裝修。
友情提示各位旅客 後瞭解得知，1和2號樓是新裝修。3正在裝修 千萬不可選",2025-09-08 22:58:48,zh-TW,"When I checked in, the customer service assigned me to Building 3 and told me it was under renovation and would be a bit noisy. After checking in, I realized it was shaking like an earthquake, not just noisy. I have every reason to suspect they were deceived when assigning me a building. After complaining to customer service, they moved us to Building 1. While it&#39;s a lower floor, it&#39;s less noisy and newly renovated. A friendly reminder to all travelers: Buildings 1 and 2 are newly renovated. Don&#39;t choose Building 3, which is under renovation."
961,s‍h‍q‍2‍0‍1‍2,,Stayed in August 2023,Family,10.0,/10,Outstanding,"Posted August 24, 2023",這次住了2晚，我們定了3間房。比較遺憾的是沒能住到新裝修的，前台跟我説要加錢。但總體來説金沙的服務真的很好！雖然3號樓有點舊，但面積很大，有陽台，也能看到海景，還是很美的！早餐也不錯，晚上的自助餐廳也很好吃，我們連着吃了2晚，12歲以下的小朋友都免費很人性化。唯一缺點的話就是一樓大廳太多了，太鬧騰！,2025-09-08 22:58:56,zh-TW,"We stayed for two nights this time and booked three rooms. Unfortunately, we didn&#39;t get the newly renovated rooms; the front desk told me it would cost extra. Overall, the service at Sands is excellent! Although Building 3 is a bit dated, it&#39;s spacious, has a balcony, and offers a beautiful sea view. The breakfast was also excellent, and the evening buffet was delicious. We ate there two nights in a row. Children under 12 eat free, which is very user-friendly. The only downside is that the first floor lobby is too crowded and noisy!"
962,t‍e‍r‍e‍s‍a‍r‍o‍n‍g,,Stayed in November 2023,Travelling with friends,10.0,/10,Outstanding,"Posted December 7, 2023","來新加坡必須住一晚金沙
無邊泳池空中花園
步行去周邊景點也很方便
推薦",2025-09-08 22:58:57,zh-TW,You must stay one night in Singapore. The Golden Sands Infinity Pool and Sky Garden are also very convenient for walking to the surrounding attractions. Recommended
963,A‍i‍l‍v‍y‍o‍u‍a‍i‍c‍h‍i‍d‍e‍n‍i‍n‍g‍b‍a‍o,,Stayed in August 2023,Family,10.0,/10,Outstanding,"Posted August 25, 2023","第二次入住這裏 十年前還沒帶娃來 這次帶孩子 體驗感十足 房間夠大 無邊泳池永遠的經典
設施：豪華
衞生：很優秀
服務：很友善
特別表揚行李部 
特別表揚besh 入住辦理很好 中文很好",2025-09-08 22:58:59,zh-TW,My second time staying here. I didn&#39;t bring my kids here ten years ago. This time I brought my kids and it was a great experience. The room is big enough and the infinity pool is a timeless classic. Facilities: luxurious. Cleanliness: excellent. Service: very friendly. Special praise for the bellhop. Besh. Check-in was very good. Chinese is very good.
964,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in October 2023,Family,10.0,/10,Outstanding,"Posted October 5, 2023",購物中心方便、吃飯也方便、服務好、房間乾淨整潔，裏面設施新、非常滿意、下次還會來、裏面工作人員服務態度熱情、有會中文、非常方便,2025-09-08 22:59:00,zh-TW,"The shopping mall is convenient, the dining area is also convenient, the service is good, the room is clean and tidy, the facilities are new, very satisfied, will come again next time, the staff are friendly and can speak Chinese, very convenient"
965,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in January 2024,Business traveller,10.0,/10,Outstanding,"Posted January 23, 2024",房間很好風景很棒,2025-09-08 22:59:00,zh-TW,Nice room with great view
966,c‍h‍w‍_‍t,,Stayed in August 2023,Family,10.0,/10,Outstanding,"Posted August 8, 2023","我們三個房間，酒店居然給我們升級成了總統套房…
套房裡包含了三個房間，每個房間都有衣帽間、衞生間。
還有書房，小型健身房，按摩房和K歌房，太豪橫了，不得不點贊這次住宿體驗！
前台説平時這個房間是20000新元…",2025-09-08 22:59:01,zh-TW,"We had three rooms, and the hotel unexpectedly upgraded us to a presidential suite. The suite includes three bedrooms, each with a dressing room and bathroom. There&#39;s also a study, a small gym, a massage room, and a karaoke room. It was truly luxurious! I have to give this stay a thumbs up! The front desk said this room normally costs 20,000 Singapore dollars."
967,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,,Stayed in October 2023,Family,10.0,/10,Outstanding,"Posted October 12, 2023",風景太美了，泳池超讚👍服務也很到位，有孩子的拖鞋，浴袍，游完泳孩子餓了還可以點餐，送餐有餐桌，使用完房門口按鈴即可。,2025-09-08 22:59:03,zh-TW,"The scenery is so beautiful, the swimming pool is amazing 👍The service is also in place, there are slippers and bathrobes for children, and if the children are hungry after swimming, they can order food, and there is a dining table for delivery. Just ring the bell at the door after use."
968,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in August 2023,Family,6.0,/10,,"Posted August 5, 2023","多年以來我寫的點評幾乎都是正能量，寫的也短，今天第一次來個負能量+長篇
1.入住  手機電量要足——因為你需要排隊至少二十分鐘，不刷手機真是難熬。兩個入住手續辦理前台，取決於你住塔1，2還是3。否則你要拖着行李步行五分鐘，穿過大堂到另一邊辦手續。你在穿越過程中，還會驚喜地發現來來往往的人流巨多，賭客、購物客、遊客和住客人流交雜在酒店大堂，各種大聲喧嘩，腦仁兒疼。好不容易快輪到你了，你會發現一個前台辦理入住的平均時間為十分鐘，再加上有的話嘮前台和客人愛聊天，等着吧。
2.房間。儘管來之前就知道沒有浴缸，但衝著其它硬件和位置，以為四千多一晚的酒店還能説得過去，哪想到——沒有浴液和洗髮水，要打電話要；一次性拖鞋的容貌堪比國內快捷酒店；衞生間沒有乾濕分離，一人如廁，全家需要外面耐心等待；牙刷更是讓人歎為觀止，目測成本不超幾塊錢人民幣，快捷酒店都不如。好歹也是金沙，有必要這麼不堪嗎？
3.所謂的網紅無邊泳池。記得不要白天去，否則一個卧榻都搶不到，衹能像服務生送飲料一樣滿世界找啊找，半小時都沒找到，回去了，不遊了。晚上八點以後稍微好點。
4.退房。通過攜程和自己打電話，晚一分鐘退房也不行。
總結：永不再來，這點錢住洲際和凱賓不香嗎？無邊泳池新加坡好多酒店都有啊？有人説智商税是窮人的偽概念，但是貨不對版花冤枉錢有意思嗎？
這種酒店就不要放在黃金位置推薦了，想送錢的自然會去秀朋友圈。更好的體驗不值得去這裏。

For years I've written reviews that are almost always positive and short, but today for the first time I'm going to post negative + long one.
1. check in. Your Cell phone power should be sufficient - because you need to queue for at least twenty minutes, it is really hard to get through without refresh your phone. There are two check-in desks, depending on whether you're in Tower 1, 2 or 3, otherwise you'll have to walk five minutes with your luggages in tow across the lobby to the other side to check in. You'll also be pleasantly surprised at the sheer volume of people coming and going, gamblers, shoppers, tourists, and residents mingling in the hotel lobby with all sorts of loud noises that make your brain hurt. Finally it's your turn, you will find a front desk check-in average time of ten minutes, plus there are nagging front desk and guests love to chat, justwait for it.
2.Room. Although before coming to know there is no bathtub, but rushed to other hardware and location, thought more than four thousand a night hotel can still say, which thought - no bath gel and shampoo, to call to be; disposable slippers looks comparable to domestic fast hotels; The toilet and the shower are interconnected, if one person goes to toilet, the whole family need to wait patiently outside; toothbrush It is even more breathtaking, the cost is not more than a few RMB, the express hotel is not as good. At least it is Sands, is it necessary to be so bad?
3. The so-called net red infinity pool. Remember not to go during the daytime, otherwise a couch can not be grabbed, you look like a waiter to send drinks all over the world, half an hour later, I did not find, so went back. After eight o'clock in the evening is slightly better.
4. Check out. Through Ctrip and my own phone calls, a minute late cannot be dalayed, you have to go on time.
Summarize: never come back again, the same amount of money for staying in the Intercontinental and Kempinski is much better than here. Some people say that the IQ tax is a poor man's pseudo-concept, but the goods are not the right version of the money spent in vain is still so rediculious.
This kind of hotel should not be placed in the golden position recommended, sb who wants to give away money will naturally go to show friends circle by Wechat. A better experience is not worth going here.",2025-09-08 22:59:04,zh-TW,"For years, my reviews have been mostly positive and short. Today, for the first time, I&#39;m going to write a long, negative review. 1. Make sure your phone is fully charged when you check in—you&#39;ll have to wait in line for at least twenty minutes, and it&#39;s incredibly difficult to not check your phone. There are two check-in desks, depending on whether you&#39;re staying in Tower 1, 2, or 3. Otherwise, you&#39;ll have to walk five minutes, dragging your luggage through the lobby, to the other side. As you make your way through, you&#39;ll be surprised by the sheer volume of people coming and going: gamblers, shoppers, tourists, and guests mingling in the hotel lobby, the noise is so loud it&#39;s a headache. When your turn finally arrives, you&#39;ll find that the average check-in time per desk is ten minutes, and some of the chatterboxes love chatting with guests. Just wait. 2. The room. Although I knew there was no bathtub before arriving, I still thought a hotel costing over 4,000 yuan a night was reasonable considering the other amenities and location. But I was surprised—there was no shower gel or shampoo, and I had to call to get them. The disposable slippers looked like those in a budget hotel in China. The bathroom had no dry/wet separation, so if one person went to the toilet, the whole family had to wait patiently outside. The toothbrush was even more appalling, costing no more than a few yuan, even worse than a budget hotel. It&#39;s Sands after all, so why should it be so awful? 3. The so-called internet-famous infinity pool. Remember not to go during the day, or you won&#39;t be able to get a single bed. You&#39;ll be searching like a waiter delivering drinks, searching everywhere. After half an hour, I couldn&#39;t find one, so I went back and didn&#39;t swim anymore. It&#39;s a little better after 8 PM. 4. Check-out. I called Ctrip and myself, and even a minute later, I couldn&#39;t check out. Bottom line: Never come back. For this price, isn&#39;t staying at the InterContinental or Kempinski better? Many hotels in Singapore have infinity pools. Some say the &quot;IQ tax&quot; is a misconception for the poor, but is it really worth wasting money on something you don&#39;t like? This kind of hotel should not be recommended in a prime location. Those who want to give money will naturally show it on their social circle. A better experience is not worth going here. For years I&#39;ve written reviews that are almost always positive and short, but today for the first time I&#39;m going to post negative + long one. 1. check in. Your Cell phone power should be sufficient - because you need to queue for at least twenty minutes, it is really hard to get through without refresh your phone. There are two check-in desks, depending on whether you&#39;re in Tower 1, 2 or 3, otherwise you&#39;ll have to walk five minutes with your luggages in tow across the lobby to the other side to check in. You&#39;ll also be pleasantly surprised at the sheer volume of people coming and going, gamblers, shoppers, tourists, and residents mingling in the hotel lobby with all sorts of loud noises that make your brain hurt. Finally it&#39;s your turn, you will find a front desk check-in average time of ten minutes, plus there are nagging front desk and guests love to chat, justwait for it. 2.Room. Although before coming to know there is no bathtub, but rushed to other hardware and location, thought more than four thousand a night hotel can still say, which thought - no bath gel and shampoo, to call to be; disposable slippers looks comparable to domestic fast hotels; The toilet and the shower are interconnected, if one person goes to toilet, the whole family need to wait patiently outside; toothbrush It is even more breathtaking, the cost is not more than a few RMB, the express hotel is not as good. At least it is Sands, is it necessary to be so bad? 3. The so-called net red infinity pool. Remember not to go during the daytime, otherwise a couch can not be grabbed, you look like a waiter to send drinks all over the world, half an hour later, I did not find, so went back. After eight o&#39;clock in the evening is slightly better. 4. Check out. Through Ctrip and my own phone calls, a minute late cannot be dalayed, you have to go on time. people say that the IQ tax is a poor man&#39;s pseudo-concept, but the goods are not the right version of the money spent in vain is still so rediculious. This kind of hotel should not be placed in the golden position recommended, sb who wants to give away money will naturally go to show friends circle by Wechat. A better experience is not worth going here."
969,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in October 2023,Family,10.0,/10,Outstanding,"Posted October 12, 2023",酒店確實不錯，房間也很棒，但是就是要下午2-3:00 後才能入住，早上11:00 就要 走人。確實有點不合理。,2025-09-08 22:59:05,zh-TW,"The hotel is indeed nice, and the rooms are great, but the only thing is that you can only check in after 2-3:00 pm, and you have to check out at 11:00 am. This is really a bit unreasonable."
970,W‍o‍d‍e‍n‍i‍n‍g‍m‍e‍n‍g‍b‍a‍o‍b‍a‍o,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted January 11, 2024",風景特別漂亮,2025-09-08 22:59:06,zh-TW,The scenery is particularly beautiful
971,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,,Stayed in September 2023,Other,10.0,/10,Outstanding,"Posted September 29, 2023",迎來送往服務熱情耐心 房間景色很美 早餐可在食閣 乾淨品種多樣化味道不錯經濟實惠 可以省早餐 逛街方便很好的選擇,2025-09-08 22:59:14,zh-TW,"The welcoming service was warm and patient. The room had a beautiful view. Breakfast was available in the food court. It was clean, varied, and tasted good. It was economical and affordable. You can save on breakfast and go shopping. It was a great choice."
972,L‍o‍n‍g‍y‍i‍n‍q‍i‍a‍n‍j‍i‍a‍n‍g,Sands Premier Double Queen Gardens By The Bay View,Stayed in May 2024,Travelling with friends,9.0,/10,Great,"Posted May 6, 2024",環境衞生設施都很好，就是拿房太慢，早上十點就過來開房，到下午四點才拿到房間，旅途本身就很累打算到房間休息一會再出去玩的，結果等幾個小時,2025-09-08 22:59:14,zh-TW,"The sanitation and facilities are all very good, but the room was too slow to be taken. I came to check in at 10 am, but I didn&#39;t get the room until 4 pm. I was very tired from the journey and planned to rest in the room for a while before going out to play. In the end, I had to wait for several hours."
973,X‍i‍a‍n‍x‍i‍a‍n‍e‍r‍0‍5‍1‍3,,Stayed in July 2023,Family,8.5,/10,Very Good,"Posted July 25, 2023",總的來説不錯，唯一就是舊房間真的舊了，還賣六千多不説，房間被褥浴袍洗漱用品，和新裝修的全部不一樣，確定是一家酒店嗎？這樣子還賣這麼貴太不值了，唯一就是泳池和樓下商場和******真的太方便，趕緊裝修吧，六千多訂新裝修還可以，一定要訂新裝修的呀！！！！早餐不錯，很豐富。前台服務很差，效率極其低，很慢很慢，但是禮賓另外服務還是不錯的，大廳人很多，禮賓部的工作人員會四處走動問拿着行禮的客人要不要幫忙，特別是退房那天，Edgardo在大廳遇到我們把所有行李裝上行李車，問我們是checkin還是out，還幫我們叫車，看我們人多給我説他叫一輛大車就行，還把所有行李裝上車，讓人覺得在人潮湧動的金沙還是能享受到服務的。,2025-09-08 22:59:16,zh-TW,"Overall, it&#39;s a good hotel. The only thing is that the old room is really old. Not only is it priced at over 6,000, but the bedding, bathrobes, and toiletries are completely different from the newly renovated ones. Are you sure it&#39;s a hotel? It&#39;s so overpriced for something like this, it&#39;s a steal. The only thing is that the pool, the shopping mall downstairs, and ****** are really convenient. They should renovate it quickly. It&#39;s okay to book a newly renovated one for over 6,000. You absolutely must book a newly renovated one! The breakfast was good and plentiful. The front desk service was terrible, extremely slow, and inefficient. However, the concierge service was quite good. The lobby was crowded, and the concierge staff would go around asking guests with their luggage if they needed help. On check-out day, Edgardo met us in the lobby as we loaded our luggage onto a luggage cart. He asked if we were checking in or out, and even called a taxi for us. Seeing how many people we were, he told me to just call a large one. He even loaded all our luggage into the car. It felt like you could still enjoy service in the crowded Sands."
974,S‍h‍i‍x‍i‍a‍o‍b‍a‍o‍b‍a,,Stayed in August 2023,Family,10.0,/10,Outstanding,"Posted August 20, 2023","房間設施很好，衞生乾淨，有專門的客房服務人員，房間外面的大陽台真是超愛，外景很好～
人很多，入住一定要等3點以後～
早飯要9點後去要排隊，品種很多，水果特別新鮮～",2025-09-08 22:59:17,zh-TW,"The room facilities are very good, clean and hygienic, with dedicated room service staff. I love the large balcony outside the room, with a great view. It&#39;s very crowded, so you have to wait until after 3 o&#39;clock to check in. You have to queue for breakfast after 9 o&#39;clock, but there are many varieties and the fruit is especially fresh."
975,X‍i‍a‍o‍M‍M‍1‍2‍3,,Stayed in August 2023,Family,10.0,/10,Outstanding,"Posted August 29, 2023",這個必須點評一下，環境不用説，位置風景絕佳，無邊泳池我是沒玩夠啊，隨便發幾張，感受一下啊，下次再來，對了，酒店直通奢侈品店，太nice了。,2025-09-08 22:59:18,zh-TW,"I have to comment on this. Needless to say, the environment is great, the location and scenery are superb, and I haven&#39;t had enough of the infinity pool. I&#39;ll just post a few pictures for you to feel. I&#39;ll come again next time. By the way, the hotel is directly connected to the luxury store, which is very nice."
976,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in December 2023,Solo traveller,9.5,/10,Amazing,"Posted December 14, 2023",設施先進，環境優美,2025-09-08 22:59:20,zh-TW,Advanced facilities and beautiful environment
977,S‍h‍i‍s‍h‍a‍n‍g‍z‍h‍i‍y‍o‍u‍m‍a‍m‍a,,Stayed in August 2023,Couple,10.0,/10,Outstanding,"Posted November 3, 2023","設施：好
衞生：好
環境：好
服務：好👌👌好喜歡好贊確實優點多好好👍好喜歡好期待好喜歡美美美好😊好喜歡好期待好喜歡好棒好棒",2025-09-08 22:59:21,zh-TW,Facilities: Good Hygiene: Good Environment: Good Service: Good👌👌 I like it very much. It is indeed very good. There are many advantages. Good👍 I like it very much. I look forward to it. I like it very much. It is beautiful and beautiful😊 I like it very much. I look forward to it. I like it very much. It is great.
978,M‍m‍ ‍l‍o‍v‍e,,Stayed in November 2023,Couple,10.0,/10,Outstanding,"Posted November 28, 2023","Perfect,一生必住一次",2025-09-08 22:59:22,zh-CN,"Perfect, a must-stay in your lifetime"
979,Q‍i‍n‍g‍k‍o‍n‍g‍z‍h‍i‍y‍i‍n,,Stayed in June 2023,Family,10.0,/10,Outstanding,"Posted August 18, 2023","連住三天還是不夠，下次還來。
從老到小住了一圈（萊佛士、嘉佩樂）還是最喜歡金沙。感覺太太太太讚了。當然房間不算大，但真的衹有睡覺才在房間裏，其他時候都太太太太太讚了！！
無邊泳池yyds！早餐廳樓頂的視野絕絕子，樓下的好吃種類多（建議還是吃樓下的哈哈）。
去濱海灣花園太方便（濱海灣花園每次玩完回去打車都不方便，體驗了兩次都是打不到車，大排隊，所以還是住金沙步行最方便）。圖上就是在金沙坐電梯上空中花園，走到濱海灣的那個路，真的建議走這條，美很多。

房間夜景很好，能直接看到魚獅尾，入住時給免費升級了城市夜景房（後來賊後悔，想要濱海灣花園景色，但是房間全滿了換不了）

提醒：會中文的不多，很多印度服務員。不過還是可以溝通的，求助時也能找到中文的。",2025-09-08 22:59:23,zh-TW,"Three days wasn&#39;t enough, so I&#39;ll be back next time. After staying at a variety of hotels, from the oldest to the youngest (Raffles, Capella), I still love the Sands the most. It&#39;s absolutely amazing. Sure, the room isn&#39;t huge, but I only use it when I sleep. Otherwise, it&#39;s absolutely amazing! The infinity pool is amazing! The view from the rooftop breakfast restaurant is incredible, and there&#39;s a wide variety of delicious food downstairs (I recommend eating downstairs, haha). It&#39;s so convenient to Gardens by the Bay (it&#39;s always hard to get a taxi back after visiting the Gardens by the Bay. I tried it twice and couldn&#39;t get one, there were huge lines, so it&#39;s more convenient to walk from the Sands). The picture shows the path from the Sands elevator up to the SkyPark and then to Marina Bay. I highly recommend taking this route; it&#39;s so much more beautiful. The night view from the room is amazing, with a direct view of the Merlion&#39;s Tail. We were given a free upgrade to a City Night View room upon check-in (which I later regretted; I wanted a Gardens by the Bay view, but they were all booked up and couldn&#39;t change). A word of caution: there aren&#39;t many Chinese-speaking staff, and many of the staff are Indian. However, it&#39;s still possible to communicate, and you can find Chinese speakers when you need help."
980,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in September 2023,Family,10.0,/10,Outstanding,"Posted September 16, 2023",超級不錯的體驗，超級喜歡的酒店，金沙酒店無邊泳池打卡，服務超級棒，住着非常舒服還乾淨，下次來還要選擇這裏,2025-09-08 22:59:25,zh-TW,"Super good experience, I like this hotel very much, check in the infinity pool of Sands Hotel, the service is superb, the stay is very comfortable and clean, I will choose here next time"
981,X‍U‍D‍O‍N‍G,,Stayed in October 2023,Business traveller,8.5,/10,Very Good,"Posted October 30, 2023",可能運營時間太長，設備裝璜有點陳舊，酒店服務有點跟不上五星標準,2025-09-08 22:59:33,zh-TW,"Maybe it has been in operation for too long, the equipment and decoration are a bit old, and the hotel service is a bit behind the five-star standard."
