reviewer_name,review_date,review_title,review_text,review_score,date_of_stay,trip_type,reviewer_country,title_detected_lang,title_translated,review_detected_lang,review_translated
Sherpa09302393450,Nov 2024,Pilates with a view!!,Did the Pilates on the rooftop and it was amazing!! Such a great instructor and an amazing view. Highly recommend it’s a great way to start your morning. Just beware because it gets hot!! Sweat off those extra calories :) don’t miss this unforgettable experience!,5 of 5 bubbles,November 2024,Traveled solo,3 contributions,en,Pilates with a view!!,en,Did the Pilates on the rooftop and it was amazing!! Such a great instructor and an amazing view. Highly recommend it’s a great way to start your morning. Just beware because it gets hot!! Sweat off those extra calories :) don’t miss this unforgettable experience!
Edward Z,Oct 2024,Great,Last day here and have been at the pool since 6am. It's our vacation and Mark at the infinity pool made it that way. Anything we needed Mark made happen the entire time. The service was amazing and would definitely come again. Thanks Mark for making this a great trip!!!,5 of 5 bubbles,October 2024,Traveled as a couple,4 contributions,en,Great,en,Last day here and have been at the pool since 6am. It's our vacation and Mark at the infinity pool made it that way. Anything we needed Mark made happen the entire time. The service was amazing and would definitely come again. Thanks Mark for making this a great trip!!!
Scott,Oct 2024,The most incredible pool in the world,"Amazing service from start to finish and truly unforgettable stay. Special thanks to Frina and the rest of the team. Nothing was too much for them and they went above and beyond.

Has to have the most incredible pool in the world as well.

We didn't want to leave.",5 of 5 bubbles,October 2024,Traveled with family,"Bangkok, Thailand",en,The most incredible pool in the world,en,"Amazing service from start to finish and truly unforgettable stay. Special thanks to Frina and the rest of the team. Nothing was too much for them and they went above and beyond.

Has to have the most incredible pool in the world as well.

We didn't want to leave."
Restaurant Restaurant,Oct 2024,What a craft Madness,"I stayed here twice during the day and evening, gladly recommend between 17:00 18:00 so they can experience sunset, better outdoor area without bars and restaurant, a great view over the whole country, man can also nice food and drink but high cost , Attention who comes from the restaurant sides may not enter the outside area also vice versa therefore explore exactly what you want
Recommend anyone visiting this city just it must be",5 of 5 bubbles,October 2024,Traveled with friends,"Berlin, Germany",en,What a craft Madness,en,"I stayed here twice during the day and evening, gladly recommend between 17:00 18:00 so they can experience sunset, better outdoor area without bars and restaurant, a great view over the whole country, man can also nice food and drink but high cost , Attention who comes from the restaurant sides may not enter the outside area also vice versa therefore explore exactly what you want
Recommend anyone visiting this city just it must be"
Haytham,Oct 2024,ITP Aisa 2024,"It was a great experience it’s a great landmark in Singapore, you can enjoy the experience of everything room, food, restaurants, Infiniti bowl, and the great professional services especially provided by one guy named Guna be made my infinity swimming pool experience totally different with his great assistance",5 of 5 bubbles,October 2024,Traveled on business,"Dubai, United Arab Emirates",hi-Latn,ITP Aisa 2024,en,"It was a great experience it’s a great landmark in Singapore, you can enjoy the experience of everything room, food, restaurants, Infiniti bowl, and the great professional services especially provided by one guy named Guna be made my infinity swimming pool experience totally different with his great assistance"
Célia H,Oct 2024,A memorable memory,"High quality service. A staff with little care at all times.
Attention to detail, in short an extraordinary experience.
A little extra that has a great importance, we were upgraded, no doubt, as it added an extra piece of magic.
Thanks to John and all those colleagues",5 of 5 bubbles,October 2024,Traveled as a couple,France,en,A memorable memory,en,"High quality service. A staff with little care at all times.
Attention to detail, in short an extraordinary experience.
A little extra that has a great importance, we were upgraded, no doubt, as it added an extra piece of magic.
Thanks to John and all those colleagues"
Dreamer06075466755,Oct 2024,so good!!,I'm so thrilled that you upgraded your room for free. The room description was also attentive and the staff was nice.,5 of 5 bubbles,October 2024,Traveled with friends,1 contribution,en,so good!!,en,I'm so thrilled that you upgraded your room for free. The room description was also attentive and the staff was nice.
mtorrr943520,Oct 2024,Our Fave Hotel!,"This is a perfect 10 experience! My favorite hotel from now on. From Best customer service, to the wonderful amenities and hotel surroundings. We love our view: the beautiful lights of Gardens by the Bay! Our family suite is just perfect. Just what we wanted: with kitchen and washer dryer, modern Japanese Bidet toilet. Not all rooms have these, but so surprised when the selection opened up. All the finest things are in there- from the Jo Malone soaps and lotion to the best TWG tea flavors! The service is just way and above expectations: the welcome chocolates are so good and other treats are so fancy! I am really impressed on how they show their gesture of hospitality. They even gave a cute, Marina Bay Sands Lego set that my son was eyeing on for his birthday. Too many nice things to mention, but specially the warmest welcome and service we got from the time we were picked up from our previous hotel...riding their Limo Van really made us all feel so VIP, up to the private check in process by Ms. Glaiza and Ms. Julie (both charming and very warm and very accommodating ) , up to the concierge - Leo really explained all the good places to visit, complete with different maps and illustrations. They know how to treat their guests here. Nothing bad to say about this hotel, all are above super special only. The pool is the best in the world, by the way, and the view up there is just spectacular. One should expect though, that this is a luxury hotel, and it does not come cheap, but it's just so worth it. People save up for a good vacation, I would say, it's the same as this experience. Would definitely return to MBS when in Singapore!",5 of 5 bubbles,October 2024,Traveled with family,"San Francisco, California",en,Our Fave Hotel!,en,"This is a perfect 10 experience! My favorite hotel from now on. From Best customer service, to the wonderful amenities and hotel surroundings. We love our view: the beautiful lights of Gardens by the Bay! Our family suite is just perfect. Just what we wanted: with kitchen and washer dryer, modern Japanese Bidet toilet. Not all rooms have these, but so surprised when the selection opened up. All the finest things are in there- from the Jo Malone soaps and lotion to the best TWG tea flavors! The service is just way and above expectations: the welcome chocolates are so good and other treats are so fancy! I am really impressed on how they show their gesture of hospitality. They even gave a cute, Marina Bay Sands Lego set that my son was eyeing on for his birthday. Too many nice things to mention, but specially the warmest welcome and service we got from the time we were picked up from our previous hotel...riding their Limo Van really made us all feel so VIP, up to the private check in process by Ms. Glaiza and Ms. Julie (both charming and very warm and very accommodating ) , up to the concierge - Leo really explained all the good places to visit, complete with different maps and illustrations. They know how to treat their guests here. Nothing bad to say about this hotel, all are above super special only. The pool is the best in the world, by the way, and the view up there is just spectacular. One should expect though, that this is a luxury hotel, and it does not come cheap, but it's just so worth it. People save up for a good vacation, I would say, it's the same as this experience. Would definitely return to MBS when in Singapore!"
Tourist34345547466,Oct 2024,Another level wow…..the service the facilities everyone is so kind will come back again to the same area same room hahah,"Another level wow…..the service the facilities everyone is so kind will come back again to the same area same room hahaha ,
Recommending to everyone this experience.
Best for honeymoons and to just relax and live the life you want ti live …..",5 of 5 bubbles,October 2024,Traveled as a couple,2 contributions,en,Another level wow…..the service the facilities everyone is so kind will come back again to the same area same room hahah,en,"Another level wow…..the service the facilities everyone is so kind will come back again to the same area same room hahaha ,
Recommending to everyone this experience.
Best for honeymoons and to just relax and live the life you want ti live ….."
Waqas M,Oct 2024,A Marvel at Marina Bay Sands,"Marina Bay Sands is an architectural masterpiece that offers stunning views and luxurious experiences. The infinity pool is a must-see, providing a breathtaking skyline backdrop. The vibrant atmosphere, diverse dining options, and world-class entertainment make it a top destination. Truly an unforgettable stay!",5 of 5 bubbles,November 2023,Traveled with family,"Dubai, United Arab Emirates",en,A Marvel at Marina Bay Sands,en,"Marina Bay Sands is an architectural masterpiece that offers stunning views and luxurious experiences. The infinity pool is a must-see, providing a breathtaking skyline backdrop. The vibrant atmosphere, diverse dining options, and world-class entertainment make it a top destination. Truly an unforgettable stay!"
SuitelifeGlobal,Oct 2024,Unparalleled experience,"Unparalleled experience. found it tremendously enjoyable and glad that we decided to stay here. we will definitely return for another trip in future and explore more of the surroundings. anyway, amazing service, fantastic facilities!",5 of 5 bubbles,September 2024,Traveled as a couple,5 contributions,en,Unparalleled experience,en,"Unparalleled experience. found it tremendously enjoyable and glad that we decided to stay here. we will definitely return for another trip in future and explore more of the surroundings. anyway, amazing service, fantastic facilities!"
Nicole J,Oct 2024,First class,"The hotel offers an absolutely excellent service. Almost no wish goes unfulfilled and the location is great. Public transport, shopping and other highlights are nearby and the pool is unique at sunset.",5 of 5 bubbles,October 2024,Traveled with family,1 contribution,en,First class,en,"The hotel offers an absolutely excellent service. Almost no wish goes unfulfilled and the location is great. Public transport, shopping and other highlights are nearby and the pool is unique at sunset."
Lisanne11,Oct 2024,Magical sound meditation class,"Had an absolutely magical experience with Karu's sound meditation class at sunrise on the Skypark observation deck. Along with the stunning views, the class was both inspiring and grounding. Karu's compassionate nature complements his brilliance with the instruments. Cannot imagine a better way to start the day! Thanks again, Karu!",5 of 5 bubbles,October 2024,Traveled solo,1 contribution,en,Magical sound meditation class,en,"Had an absolutely magical experience with Karu's sound meditation class at sunrise on the Skypark observation deck. Along with the stunning views, the class was both inspiring and grounding. Karu's compassionate nature complements his brilliance with the instruments. Cannot imagine a better way to start the day! Thanks again, Karu!"
dee090,Oct 2024,Excellent choice,"I booked this hotel for our 2 night stopover in Singapore as I wanted to see the iconic pool plus I wanted to visit Gardens by the Bay so it made sense to book here. We arrived early in the morning & unfortunately our room wasn't available but we were allowed to access the infinity pool. We had packed our swimming costumes in our hand luggage so we could enjoy the pool for several hours until our room was ready. The pool area was almost empty so it was a real treat (especially when we visited early evening and saw how busy it was). My only criticism is that it would have been nice if just one section of the huge pool area didn't have the constant beat of bass 'music'. That apart, I loved the pool & we enjoyed having it almost to ourselves. Reception emailed me when our room was ready & we were delighted when we saw our beautiful newly refurbished room on level 21 of Tower 1. Spacious & tasteful. The bed & bedding were so luxurious & comfortable. Bath, separate shower & toto toilet, double sinks, espresso machine, enormous Samsung tv & 2 armchairs fronting a superb view over the river. (We were told that soft drinks in the minibar were complimentary but on check out we discovered that wasn't the case.) The room was so quiet. We never had any sound from neighbours or from outside. We only had breakfast one morning as we checked out early the 2nd morning. There was a very small wait to be seated but the efficency of service, choice & quality of buffet were impressive.

It's a short easy walk to Gardens by the Bay. We also decided to do a river boat cruise & again it was just a short stroll to boat terminal outside the mall.

Hotel was a great choice for us in terms of location, quality & relaxation. We had dinner at Lavo (separate review to follow).",5 of 5 bubbles,October 2024,Traveled as a couple,edinburgh,en,Excellent choice,en,"I booked this hotel for our 2 night stopover in Singapore as I wanted to see the iconic pool plus I wanted to visit Gardens by the Bay so it made sense to book here. We arrived early in the morning & unfortunately our room wasn't available but we were allowed to access the infinity pool. We had packed our swimming costumes in our hand luggage so we could enjoy the pool for several hours until our room was ready. The pool area was almost empty so it was a real treat (especially when we visited early evening and saw how busy it was). My only criticism is that it would have been nice if just one section of the huge pool area didn't have the constant beat of bass 'music'. That apart, I loved the pool & we enjoyed having it almost to ourselves. Reception emailed me when our room was ready & we were delighted when we saw our beautiful newly refurbished room on level 21 of Tower 1. Spacious & tasteful. The bed & bedding were so luxurious & comfortable. Bath, separate shower & toto toilet, double sinks, espresso machine, enormous Samsung tv & 2 armchairs fronting a superb view over the river. (We were told that soft drinks in the minibar were complimentary but on check out we discovered that wasn't the case.) The room was so quiet. We never had any sound from neighbours or from outside. We only had breakfast one morning as we checked out early the 2nd morning. There was a very small wait to be seated but the efficency of service, choice & quality of buffet were impressive.

It's a short easy walk to Gardens by the Bay. We also decided to do a river boat cruise & again it was just a short stroll to boat terminal outside the mall.

Hotel was a great choice for us in terms of location, quality & relaxation. We had dinner at Lavo (separate review to follow)."
Shannan D,Oct 2024,Bucket list experience,"Marina Bay Sands is a must when in Singapore. The hotel it self is stunning and the rooms are currently in the process of being updated, they are doing an exceptional job updating the rooms whilst minimizing the impact on guests stays.
the roof top pool is a must on anyone’s bucket list, the restaurants on the roof top and back down on ground level are simply exceptional, there is something for everyone.
however the #1 asset of this hotel is its staff, from the doorman at the front doors, through to checkin staff, concierge, house keeping, kitchen, pool staff, VIP staff, etc, they make this hotel what it is and they all make you feel like you belong and nothing is a problem, they will all go above and beyond to make your stay a memorable experience. Can’t wait until we next return!",5 of 5 bubbles,October 2024,Traveled as a couple,1 contribution,en,Bucket list experience,en,"Marina Bay Sands is a must when in Singapore. The hotel it self is stunning and the rooms are currently in the process of being updated, they are doing an exceptional job updating the rooms whilst minimizing the impact on guests stays.
the roof top pool is a must on anyone’s bucket list, the restaurants on the roof top and back down on ground level are simply exceptional, there is something for everyone.
however the #1 asset of this hotel is its staff, from the doorman at the front doors, through to checkin staff, concierge, house keeping, kitchen, pool staff, VIP staff, etc, they make this hotel what it is and they all make you feel like you belong and nothing is a problem, they will all go above and beyond to make your stay a memorable experience. Can’t wait until we next return!"
Culture43979958309,Oct 2024,Luxurious comfort taking the customer delight to another level,Everyone can replicate the furniture and ambience but one thing which is difficult to copy is the warmth of the staff...excellent people at MBS who will make you feel special all the time...loved our stay and the pool is breathtaking...the rooms have the best layout ...best hotel,5 of 5 bubbles,October 2024,Traveled with family,1 contribution,en,Luxurious comfort taking the customer delight to another level,en,Everyone can replicate the furniture and ambience but one thing which is difficult to copy is the warmth of the staff...excellent people at MBS who will make you feel special all the time...loved our stay and the pool is breathtaking...the rooms have the best layout ...best hotel
El-Cholestero,Oct 2024,A perfect stay in a perfect hotel.,"We booked a Gardens by the Bay view suite for five nights. A couple of days before we were due to arrive, we were contacted by the Premium Services team to ask if we wished to have a complimentary car pick us up. We took advantage of their offer. A driver was waiting for us at Changi airport and got us to the hotel. When we arrived, Frina, our private checkin person, was awaiting us along with a bellman to get our bags. We were whisked up to our suite (upgraded to the Paiza residences!) and we did the checkin inside the room. Frina could not have been friendlier or more professional. She is a great ambassador for the hotel. Once all that was taken care of, we enjoyed our five nights.
It's a hotel and mall complex, right next to Gardens by the Bay. So, if you don't want to leave the complex, you have all the food and shopping you need. If you do want to explore what Singapore has to offer (and of course you do!), you are really close to a metro station and you can go anywhere you want.
You're right next to Gardens By the Bay, so visiting it is really easy and convenient.
We had a buffet breakfast included in our meal; Rise is where the buffet is, and it has a great deal of various breakfast options for your dining needs. The lunch buffet is in the same place and has just as many options, including seafood.
Your room key gets you free anytime access to the observation deck and infinity pool on the 57th floors. Take advantage of this; get on up there and enjoy the views. We hit the pool in the afternoon and found it easy to get a lounge. There are also jacuzzis up there.
The suite was spectacular; every modern convenience. The end tables had wireless charging units built in plus USB plugs. The bathroom has a bidet operated by a keypad. The shower has regular showerhead, horizontal showerheads and the rainfall showerhead. Jacuzzi bathtub, of course.
Gigantic TV in living room and smaller one in bedroom. Curtains (sheers and blackouts) operated by wall switches.
The staff; friendly, professional, courteous. Uniformly; every single staff member we encountered was excellent.
Seriously, this was one of the best hotel experiencs we've ever had, and we would love to return to Singapore and stay here.",5 of 5 bubbles,October 2024,Traveled with family,"Los Angeles, CA",en,A perfect stay in a perfect hotel.,en,"We booked a Gardens by the Bay view suite for five nights. A couple of days before we were due to arrive, we were contacted by the Premium Services team to ask if we wished to have a complimentary car pick us up. We took advantage of their offer. A driver was waiting for us at Changi airport and got us to the hotel. When we arrived, Frina, our private checkin person, was awaiting us along with a bellman to get our bags. We were whisked up to our suite (upgraded to the Paiza residences!) and we did the checkin inside the room. Frina could not have been friendlier or more professional. She is a great ambassador for the hotel. Once all that was taken care of, we enjoyed our five nights.
It's a hotel and mall complex, right next to Gardens by the Bay. So, if you don't want to leave the complex, you have all the food and shopping you need. If you do want to explore what Singapore has to offer (and of course you do!), you are really close to a metro station and you can go anywhere you want.
You're right next to Gardens By the Bay, so visiting it is really easy and convenient.
We had a buffet breakfast included in our meal; Rise is where the buffet is, and it has a great deal of various breakfast options for your dining needs. The lunch buffet is in the same place and has just as many options, including seafood.
Your room key gets you free anytime access to the observation deck and infinity pool on the 57th floors. Take advantage of this; get on up there and enjoy the views. We hit the pool in the afternoon and found it easy to get a lounge. There are also jacuzzis up there.
The suite was spectacular; every modern convenience. The end tables had wireless charging units built in plus USB plugs. The bathroom has a bidet operated by a keypad. The shower has regular showerhead, horizontal showerheads and the rainfall showerhead. Jacuzzi bathtub, of course.
Gigantic TV in living room and smaller one in bedroom. Curtains (sheers and blackouts) operated by wall switches.
The staff; friendly, professional, courteous. Uniformly; every single staff member we encountered was excellent.
Seriously, this was one of the best hotel experiencs we've ever had, and we would love to return to Singapore and stay here."
HYUNJU L,Oct 2024,good memmories,"We stayed at Marina Bay Sands from September 17th to 19th. The 2 nights and 3 days at Sands Premier Suite, Gardens by the Bay View (King Bed) was really great, and I definitely want to come back again. During our trip with a 7 month old and a 27 month old, the Marina Bay Sands team was very considerate, which made our trip a happy one. On the last day, while going to the airport using the limousine service, we realized that we had left our first little boy's favorite pillow behind. When we were about to give up, the hotel delivered only the pillow through another vehicle, and thanks to that, our child was able to successfully complete the 7-hour flight. I can't forget the look of happiness on my son's face when he saw his pillow at the airport. I sincerely thank you for protecting my child's innocence and making good memories for our family. In particular, Jevic Navidad, who took care of our family at the airport and saw us off, and the driver (I don't know his name..) who contacted the hotel and worked hard to get us to the airport and receive the pillow, thank you very much. We made good memories, and we will definitely visit again. Thank you.",5 of 5 bubbles,September 2024,Traveled with family,1 contribution,en,good memmories,en,"We stayed at Marina Bay Sands from September 17th to 19th. The 2 nights and 3 days at Sands Premier Suite, Gardens by the Bay View (King Bed) was really great, and I definitely want to come back again. During our trip with a 7 month old and a 27 month old, the Marina Bay Sands team was very considerate, which made our trip a happy one. On the last day, while going to the airport using the limousine service, we realized that we had left our first little boy's favorite pillow behind. When we were about to give up, the hotel delivered only the pillow through another vehicle, and thanks to that, our child was able to successfully complete the 7-hour flight. I can't forget the look of happiness on my son's face when he saw his pillow at the airport. I sincerely thank you for protecting my child's innocence and making good memories for our family. In particular, Jevic Navidad, who took care of our family at the airport and saw us off, and the driver (I don't know his name..) who contacted the hotel and worked hard to get us to the airport and receive the pillow, thank you very much. We made good memories, and we will definitely visit again. Thank you."
Sunna P,Oct 2024,Excellent,"Moe was a wonderful help and guide around the Marina bay sands hotel!! He also take’s beautiful pictures!
Everyone at Marina bay was absolutely amazing! I highly recommend this hotel for an amazing stay and close proximity to the attractions.",5 of 5 bubbles,October 2024,Traveled with friends,3 contributions,en,Excellent,en,"Moe was a wonderful help and guide around the Marina bay sands hotel!! He also take’s beautiful pictures!
Everyone at Marina bay was absolutely amazing! I highly recommend this hotel for an amazing stay and close proximity to the attractions."
Monique B,Oct 2024,Nice experience,"Great walk , after a lot of Point of Sale , about 18 kms under a bright sun , discover the many sculptures of the park , have a drink to cool off , we went up to admire the sunset on Marina bays . Beautiful.",4 of 5 bubbles,September 2024,Traveled as a couple,"Williamsville, New York",en,Nice experience,en,"Great walk , after a lot of Point of Sale , about 18 kms under a bright sun , discover the many sculptures of the park , have a drink to cool off , we went up to admire the sunset on Marina bays . Beautiful."
Andreas M,Oct 2024,Epitome of Luxury,"I never expected that this hotel would live up to the hype, but actually..it did better than expected.
The hotel is just stunning..grounds, views, infinity pool, restaurant, breakfast..can't really find any flaws. Yes, it comes with a hefty price tag, but it delivers.
Our experience begins at an extremely busy lobby, that somehow runs like a well oiled machine and we were speaking with reception staff within 2 minutes. We had the pleasure to be checked in by Katie (catiee ?) who I believe was on her first day at the job on 18/10/24. I hope this message reaches her, when we say that she was an absolute delight, really polite and really elevated our experience from the beginning.
We were then shown to our paiza deluxe suite on the 47th floor, and dear me...the room, the size, the design, the feel was just 6* experience. Everything in the room makes sense. Special things that were really standing out: 1. DIY tea ritual with high quality teas provided 2. high tech room controlled by tablet 3. smart TV in the bathtub room.
All in all, a hefty price tag, but definitely delivers in quality.
We would definitely return to stay, when back in Singapore !",5 of 5 bubbles,October 2024,Traveled as a couple,"Limassol City, Cyprus",en,Epitome of Luxury,en,"I never expected that this hotel would live up to the hype, but actually..it did better than expected.
The hotel is just stunning..grounds, views, infinity pool, restaurant, breakfast..can't really find any flaws. Yes, it comes with a hefty price tag, but it delivers.
Our experience begins at an extremely busy lobby, that somehow runs like a well oiled machine and we were speaking with reception staff within 2 minutes. We had the pleasure to be checked in by Katie (catiee ?) who I believe was on her first day at the job on 18/10/24. I hope this message reaches her, when we say that she was an absolute delight, really polite and really elevated our experience from the beginning.
We were then shown to our paiza deluxe suite on the 47th floor, and dear me...the room, the size, the design, the feel was just 6* experience. Everything in the room makes sense. Special things that were really standing out: 1. DIY tea ritual with high quality teas provided 2. high tech room controlled by tablet 3. smart TV in the bathtub room.
All in all, a hefty price tag, but definitely delivers in quality.
We would definitely return to stay, when back in Singapore !"
Liyi L,Oct 2024,Clean and sanitized gym with friendly staff,"Gym has sufficient equipment and space you would need. Not super crowded majority of the time and it’s open 24/7. Staff Uma and Ben is helpful and friendly at all times.

Toilet has amenities such as deodorant spray, perfume lotion that you would need. Refreshing water and coffee/tea are provided too",5 of 5 bubbles,October 2024,Traveled as a couple,1 contribution,en,Clean and sanitized gym with friendly staff,en,"Gym has sufficient equipment and space you would need. Not super crowded majority of the time and it’s open 24/7. Staff Uma and Ben is helpful and friendly at all times.

Toilet has amenities such as deodorant spray, perfume lotion that you would need. Refreshing water and coffee/tea are provided too"
Guido G,Oct 2024,"Hotel Yes, bar no","The hotel itself is very nice and the service accommodating. In the bar. There's no way I'd have another drink at the hotel! The prices are as they are, not a discussion, the staff is, they overwhelmed that I had to get drinks twice myself. The learning glasses were only cleared after half an hour after being asked. Last but not least, another employee of the bar arrived at 11:30 p.m. and said the unmarked the table where we had been sitting for 1 hour was reserved and we should take another table. Probably a guest came and tipped you big.",4 of 5 bubbles,October 2024,Traveled as a couple,1 contribution,en,"Hotel Yes, bar no",en,"The hotel itself is very nice and the service accommodating. In the bar. There's no way I'd have another drink at the hotel! The prices are as they are, not a discussion, the staff is, they overwhelmed that I had to get drinks twice myself. The learning glasses were only cleared after half an hour after being asked. Last but not least, another employee of the bar arrived at 11:30 p.m. and said the unmarked the table where we had been sitting for 1 hour was reserved and we should take another table. Probably a guest came and tipped you big."
aemccart,Oct 2024,Yoga on the rooftop,"Took an amazing yoga class with Kristen at the top of Marina Bay Sands. It was a great way to see this building and a view of the city, as well as get my yoga in. Everyone was so helpful and they provided mats, water and towels. Would love to check out the other classes they offer.",5 of 5 bubbles,October 2024,Traveled on business,4 contributions,en,Yoga on the rooftop,en,"Took an amazing yoga class with Kristen at the top of Marina Bay Sands. It was a great way to see this building and a view of the city, as well as get my yoga in. Everyone was so helpful and they provided mats, water and towels. Would love to check out the other classes they offer."
Jet14760562596,Oct 2024,Best fitness center!,"Best fitness center I have ever been to. In particular, Uma was terrific with showing the space and Ben went over and beyond, spending time to make recommendations for the family trip. The center itself was immaculate and well equipped with anything you could need. Will miss this place!",5 of 5 bubbles,October 2024,Traveled with family,1 contribution,en,Best fitness center!,en,"Best fitness center I have ever been to. In particular, Uma was terrific with showing the space and Ben went over and beyond, spending time to make recommendations for the family trip. The center itself was immaculate and well equipped with anything you could need. Will miss this place!"
Marco S,Oct 2024,Service and ambience at the highest level,"Just a wonderful experience !! Great ambience, unique service and friendly staff - an all-round carefree package to feel good !! Highly recommended... Especially the pool is unique !! The gastronomy is second to none.",5 of 5 bubbles,September 2024,Traveled as a couple,1 contribution,en,Service and ambience at the highest level,en,"Just a wonderful experience !! Great ambience, unique service and friendly staff - an all-round carefree package to feel good !! Highly recommended... Especially the pool is unique !! The gastronomy is second to none."
Road25349399560,Oct 2024,What's a memorable experience,"The staff were super friendly and helpful. I was stayed in the newly renovated room; the new room is great with amazing views, the food at Wakuda and Blossom are top-notch. The infinite pool is stunning!! Maida, Ying, Frina are all remarkable!!",5 of 5 bubbles,October 2024,Traveled on business,1 contribution,en,What's a memorable experience,en,"The staff were super friendly and helpful. I was stayed in the newly renovated room; the new room is great with amazing views, the food at Wakuda and Blossom are top-notch. The infinite pool is stunning!! Maida, Ying, Frina are all remarkable!!"
Yosaphol,Oct 2024,Best place to stay in Singapore,Room is nice as usual but a bit noisy during day time at tower 3 because of renovation. The view of Garden by the bay from the balcony is stunning. Pool is very nice and crowded. Uma and Alfa at the gym room are polite and helpful. Gym is clean and equipment is excellent.,5 of 5 bubbles,October 2024,Traveled with friends,47 contributions,en,Best place to stay in Singapore,en,Room is nice as usual but a bit noisy during day time at tower 3 because of renovation. The view of Garden by the bay from the balcony is stunning. Pool is very nice and crowded. Uma and Alfa at the gym room are polite and helpful. Gym is clean and equipment is excellent.
Sarita F frequentflier491439,Oct 2024,Marina Bay Sands world famous and one of a kind amazing hotel,"In April of 2024, we visited the beautiful country of Singapore. We stayed at Marina Bay Sands and experienced their luxurious expansive resort for the first time.

From the moment we checked in, their outstanding staff fulfilled every request from assisting with dinner reservations, city tours and even transportation to the airport. Marina Bay Sands’ exceptional service indulged our whims, surrounded us in tranquility, and provided us with endless opportunities to explore their magical one-of-a-kind world-famous hotel at our leisure.

Their attention to every detail ensured we experienced unparalleled comfort during our stay at this incredible haven of luxury, filled with stunning décor, and elegantly furnished rooms. Their infinity pool was sublime, with spectacular views of the city, and their restaurants' meals were decadent.

Kind regards to the dedicated staff that made our stay memorable, and a special thanks to; Victor Alexander Mai and Jeevan Rao, who were our first contacts with MBS staff and greeted us at check in. Victor also secured our dinner reservations at Spago, their rooftop restaurant, and escorted us to our table. Daniel Tuang, also greeted us at check in and provided us with a wealth of premium services information. Charmaine Ho had a lovely array of fruit, with champagne and an assortment of delicious chocolates awaiting us in our room. Aaron, one of the pool lifeguards, was kind enough to provide us with historical city information, and Mark scheduled our airport transportation and secured our luggage. Erica Gonzales met us at the departure exit to thank us and give us a warm farewell on behalf of MBS. Johnny, our friendly airport chauffeur, got us safely to the airport and radioed ahead so the amazing duo of Justine and Eric would be awaiting us curbside at the airport’s international terminal. They unloaded our luggage onto airport dollies, wheeled them to the baggage counter and escorted us to the VAT counter for our tax refunds.

In addition, the dynamic and kind team members from MBS’s housekeeping, restaurants and even the elevator operator, a friendly gentleman who whisked us to the front of the line when he saw that we were MBS guests, provided us with every conceivable comfort during our stay. Marina Bay Sands is rated as a 5-star hotel, but we wholeheartedly believe it should be a 10-star rating. Marina Bay Sands left us with beautiful memories, a deep appreciation for their incomparable superior devotion to excellence, and an embedded desire to return again and again.",5 of 5 bubbles,April 2024,Traveled with friends,"San Diego, California",en,Marina Bay Sands world famous and one of a kind amazing hotel,en,"In April of 2024, we visited the beautiful country of Singapore. We stayed at Marina Bay Sands and experienced their luxurious expansive resort for the first time.

From the moment we checked in, their outstanding staff fulfilled every request from assisting with dinner reservations, city tours and even transportation to the airport. Marina Bay Sands’ exceptional service indulged our whims, surrounded us in tranquility, and provided us with endless opportunities to explore their magical one-of-a-kind world-famous hotel at our leisure.

Their attention to every detail ensured we experienced unparalleled comfort during our stay at this incredible haven of luxury, filled with stunning décor, and elegantly furnished rooms. Their infinity pool was sublime, with spectacular views of the city, and their restaurants' meals were decadent.

Kind regards to the dedicated staff that made our stay memorable, and a special thanks to; Victor Alexander Mai and Jeevan Rao, who were our first contacts with MBS staff and greeted us at check in. Victor also secured our dinner reservations at Spago, their rooftop restaurant, and escorted us to our table. Daniel Tuang, also greeted us at check in and provided us with a wealth of premium services information. Charmaine Ho had a lovely array of fruit, with champagne and an assortment of delicious chocolates awaiting us in our room. Aaron, one of the pool lifeguards, was kind enough to provide us with historical city information, and Mark scheduled our airport transportation and secured our luggage. Erica Gonzales met us at the departure exit to thank us and give us a warm farewell on behalf of MBS. Johnny, our friendly airport chauffeur, got us safely to the airport and radioed ahead so the amazing duo of Justine and Eric would be awaiting us curbside at the airport’s international terminal. They unloaded our luggage onto airport dollies, wheeled them to the baggage counter and escorted us to the VAT counter for our tax refunds.

In addition, the dynamic and kind team members from MBS’s housekeeping, restaurants and even the elevator operator, a friendly gentleman who whisked us to the front of the line when he saw that we were MBS guests, provided us with every conceivable comfort during our stay. Marina Bay Sands is rated as a 5-star hotel, but we wholeheartedly believe it should be a 10-star rating. Marina Bay Sands left us with beautiful memories, a deep appreciation for their incomparable superior devotion to excellence, and an embedded desire to return again and again."
Wilfredo S,Oct 2024,A friend in need is a true friend in deed.,Our stay was so wonderful thanks to the helpful and kind assistance we received from Vikram Sandasamy. He treated us like family. Marina Bay Sands is very lucky to have him as an employee. He was there for us whenever we needed his help. It is good to know there is someone you can reach out to whenever you're away from home.,5 of 5 bubbles,October 2024,Traveled as a couple,"Aguadilla, Puerto Rico",en,A friend in need is a true friend in deed.,en,Our stay was so wonderful thanks to the helpful and kind assistance we received from Vikram Sandasamy. He treated us like family. Marina Bay Sands is very lucky to have him as an employee. He was there for us whenever we needed his help. It is good to know there is someone you can reach out to whenever you're away from home.
